driver,points_2024,cost,team
norris,374,29,mclaren
verstappen,437,28.4,red_bull
leclerc,356,25.9,ferrari
hamilton,223,24.2,ferrari
piastri,292,23,mclaren
russell,245,21,mercedes
antonelli,0,18.4,mercedes
lawson,4,18,red_bull
sainz,290,13.1,williams
albon,12,12,williams
gasly,42,11.8,alpine
tsunoda,30,9.6,racing_bulls
alonso,70,8.8,aston_martin
stroll,24,8.1,aston_martin
ocon,23,7.3,haas
doohan,0,7.2,alpine
bearman,7,6.7,haas
hulkenberg,41,6.4,kick_sauber
hadjar,0,6.2,racing_bulls
bortoleto,0,6,kick_sauber
